name,english,gender,industry,cause,age,unexpected,controversial
Alan Rickman,Yes,Male,Cinema,Illness,60-69,No,No
Alan Thicke,Yes,Male,Cinema,Cardiorespiratory,60-69,Yes,No
Avicii,No,Male,Music,Suicide,20-29,Yes,No
Carrie Fisher,Yes,Female,Cinema,Cardiorespiratory,60-69,Yes,No
Chris Cornell,Yes,Male,Music,Suicide,50-59,Yes,No
Chuck Berry,Yes,Male,Music,Cardiorespiratory,90-99,No,Yes
David Bowie,Yes,Male,Music,Illness,60-69,Yes,Yes
Diego Maradona,No,Male,Sport,Cardiorespiratory,60-69,Yes,Yes
Doris Day,Yes,Female,Cinema,Illness,90-99,No,No
Dwayne Haskins,Yes,Male,Sport,Accident,20-29,Yes,Yes
Elizabeth II,Yes,Female,Public affairs,Natural,90-99,No,Yes
Fidel Castro,No,Male,Public affairs,Undisclosed,90-99,No,Yes
Florence Henderson,Yes,Female,Cinema,Cardiorespiratory,80-89,No,No
George H. W. Bush,Yes,Male,Public affairs,Illness,90-99,No,Yes
George Michael,Yes,Male,Music,Natural,50-59,Yes,Yes
Joan Rivers,Yes,Female,Cinema,Accident,80-89,Yes,Yes
Johnny Hallyday,No,Male,Music,Illness,70-79,No,No
Juice Wrld,Yes,Male,Music,Overdose,20-29,Yes,Yes
Kelly Preston,Yes,Female,Cinema,Illness,50-59,Yes,No
Ken Block,Yes,Male,Sport,Accident,50-59,Yes,No
Kobe Bryant,Yes,Male,Sport,Accident,40-49,Yes,Yes
Lemmy,Yes,Male,Music,Illness,70-79,Yes,Yes
Leonard Cohen,Yes,Male,Music,Illness,80-89,No,No
Leonard Nimoy,Yes,Male,Cinema,Illness,80-89,No,No
Mac Miller,Yes,Male,Music,Overdose,20-29,Yes,No
Mary Tyler Moore,Yes,Female,Cinema,Cardiorespiratory,80-89,No,No
