name,u_stat,pval,r,r_ci
Leonard Nimoy,505.3665,0.0,-0.8989,[-0.9741 -0.8237]
Avicii,815.767,0.0,-0.8368,[-0.918  -0.7557]
Ken Block,872.7325,0.0,-0.8255,[-0.9175 -0.7334]
Prince (musician),1407.8355,0.0,-0.7184,[-0.8257 -0.6112]
Alan Rickman,1478.494,0.0,-0.7043,[-0.8207 -0.5879]
Alan Thicke,1728.681,0.0,-0.6543,[-0.7757 -0.5329]
Lemmy,1761.3605,0.0,-0.6477,[-0.7683 -0.5272]
Robin Williams,2504.9715,0.0,-0.499,[-0.6403 -0.3577]
Stephen Hawking,2623.14,0.0,-0.4754,[-0.6173 -0.3334]
Joan Rivers,2796.5275,0.0,-0.4407,[-0.5775 -0.3039]
Florence Henderson,2940.3475,0.0002,-0.4119,[-0.5681 -0.2558]
Stan Lee,2969.9885,0.0002,-0.406,[-0.5548 -0.2572]
George H. W. Bush,2999.144,0.0001,-0.4002,[-0.5415 -0.2588]
George Michael,3062.9955,0.0004,-0.3874,[-0.5358 -0.239 ]
Doris Day,3185.158,0.0014,-0.363,[-0.5281 -0.1978]
Muhammad Ali,3215.673,0.0011,-0.3569,[-0.5044 -0.2093]
Pervez Musharraf,3347.0405,0.0015,-0.3306,[-0.4774 -0.1838]
Leonard Cohen,3544.811,0.0047,-0.291,[-0.4446 -0.1375]
XXXTentacion,3582.114,0.006,-0.2836,[-0.4357 -0.1315]
Johnny Hallyday,3970.3505,0.0366,-0.2059,[-0.3612 -0.0506]
Carrie Fisher,4098.138,0.0593,-0.1804,[-0.3397 -0.021 ]
David Bowie,4348.9035,0.1282,-0.1302,[-0.287   0.0265]
Mikhail Gorbachev,4694.2325,0.301,-0.0612,[-0.2274  0.1051]
Pope Benedict XVI,4789.8075,0.3599,-0.042,[-0.2062  0.1221]
Mary Tyler Moore,5270.7955,0.675,0.0542,[-0.116   0.2243]
Chuck Berry,5733.697,0.8956,0.1467,[-0.0169  0.3104]
Elizabeth II,5775.9795,0.909,0.1552,[-0.0064  0.3168]
Silvio Berlusconi,6012.5195,0.9632,0.2025,[0.0485 0.3565]
Matthew Perry,6463.751,0.9956,0.2928,[0.1473 0.4382]
Sean Connery,6517.5595,0.9957,0.3035,[0.15   0.4571]
Kelly Preston,6642.246,0.9985,0.3284,[0.1844 0.4725]
Juice Wrld,6844.053,0.9993,0.3688,[0.2195 0.5182]
Chris Cornell,6909.3555,0.9997,0.3819,[0.2395 0.5242]
Fidel Castro,7062.49,0.9998,0.4125,[0.2597 0.5653]
Diego Maradona,7468.171,1.0,0.4936,[0.3623 0.625 ]
Kobe Bryant,7624.3215,1.0,0.5249,[0.3904 0.6593]
Mac Miller,7884.935,1.0,0.577,[0.4521 0.7019]
Dwayne Haskins,8965.9525,1.0,0.7932,[0.6983 0.8881]
ALL CELEBRITIES,6044570.695,0.0,-0.1628,[-0.188  -0.1377]
